ema_alpha,fixed_delay,n_events,n_videos,mean_ptsm_delta,ci_low_descriptive,ci_high_descriptive,event_positive_fraction,gate_role
0.5,0,2248,194,-0.0034565403730145087,-0.00427524011031146,-0.0027846782951344573,0.0,descriptive_only
0.5,1,96,62,-0.005552939043712862,-0.011878446947981165,1.6120173463790523e-05,0.4270833333333333,descriptive_only
0.5,2,68,50,0.008060181510231093,-0.0002480299383692755,0.015804951691677335,0.6764705882352942,descriptive_only
0.5,3,59,38,0.009586854962816992,0.005458516437627568,0.013869345207888576,0.6610169491525424,descriptive_only
0.5,4,55,38,0.011255573742660048,0.004621821742271343,0.017661461553425316,0.6727272727272727,descriptive_only
0.5,5,45,36,0.01350902406088238,0.0073346098536601085,0.019873698680829843,0.7333333333333333,descriptive_only
0.5,6,48,34,0.013852787041853429,0.00777758934897564,0.019752539388070787,0.7916666666666666,descriptive_only
0.5,7,37,31,0.010336505958362873,0.0021454061767266506,0.017882742213242014,0.7297297297297297,descriptive_only
0.5,8,36,30,0.01984387118261863,0.009891153140858892,0.028650005808197387,0.7222222222222222,descriptive_only
0.5,9,31,26,0.018277415837628,0.010471239236053283,0.02738852007089874,0.6451612903225806,descriptive_only
0.5,10,21,18,0.018815285040658086,0.012390678841002001,0.024688619608600994,0.9047619047619048,descriptive_only
0.5,11,18,18,0.022357609284809208,0.0077297853100518855,0.03523008913323802,0.8333333333333334,descriptive_only
0.5,12,16,15,0.028561522458331774,0.018894119514372122,0.038020391905543086,0.875,descriptive_only
0.5,13,12,11,0.026203294940904818,0.015134080892447789,0.036691825056570336,1.0,descriptive_only
0.5,14,15,13,0.028338658932012206,0.01984061301917953,0.03617620884248843,0.9333333333333333,descriptive_only
0.5,15,14,14,0.02117708104599952,0.007243807514951183,0.03419375600778178,0.7857142857142857,descriptive_only
0.25,0,2361,195,-0.0016707131535848793,-0.002069404782477664,-0.0013489723330691226,0.0,descriptive_only
0.25,1,202,90,-0.001178517034868877,-0.002858592327870904,0.0004192392073658429,0.43564356435643564,descriptive_only
0.25,2,165,88,0.0013958593233044565,-0.0012753032228015875,0.003847547857205515,0.6181818181818182,descriptive_only
0.25,3,161,75,0.0020016282000035216,0.0002270943985714567,0.00352576439906431,0.6024844720496895,descriptive_only
0.25,4,141,69,0.002841549686581596,0.0007115564748430042,0.005005392187202162,0.6453900709219859,descriptive_only
0.25,5,112,61,0.002953361320311297,0.000653571848101363,0.0051488621993113605,0.6517857142857143,descriptive_only
0.25,6,95,59,0.004245941047049632,0.0023643735516527533,0.006026584121773793,0.7684210526315789,descriptive_only
0.25,7,98,61,0.002894238327084531,0.0006095201791470397,0.0051025877763224295,0.6632653061224489,descriptive_only
0.25,8,65,47,0.007031332169699877,0.00436366585161004,0.009467251585681185,0.7538461538461538,descriptive_only
0.25,9,64,46,0.006755754459021261,0.004825528349625378,0.008621984743611076,0.75,descriptive_only
0.25,10,48,38,0.005787531619806251,0.0032620113629334324,0.00818351806306233,0.7916666666666666,descriptive_only
0.25,11,45,40,0.006536646383087781,0.003722048399832147,0.009243645762001335,0.8222222222222222,descriptive_only
0.25,12,35,27,0.00904466490717657,0.00678634239391581,0.011172962573179571,0.9142857142857143,descriptive_only
0.25,13,29,26,0.007997798521786953,0.005457514942472602,0.010584682915245693,0.896551724137931,descriptive_only
0.25,14,22,17,0.010310153363592017,0.007897125242834611,0.012390650975666277,0.9545454545454546,descriptive_only
0.25,15,33,28,0.009933692006850634,0.007585961144462261,0.011927099872833274,0.9090909090909091,descriptive_only
