omitted_video_id,omitted_n_frames,ema_alpha,metric,delta_after_omission
video_test_0000004,249,0.25,accuracy,0.0053523185393291595
video_test_0000004,249,0.25,global_ece,-0.02198594483583488
video_test_0000004,249,0.25,mean_tfi,-1.576212353581914
video_test_0000004,249,0.25,mean_predicted_switches,-43.44761904761904
video_test_0000004,249,0.25,mean_transition_delay,0.2326013513513514
video_test_0000004,249,0.25,ptsm,-0.00544656819018105
video_test_0000004,249,0.25,missed_transition_rate,0.013513513513513514
video_test_0000004,249,0.5,accuracy,0.014688175778886592
video_test_0000004,249,0.5,global_ece,-0.051512461299665135
video_test_0000004,249,0.5,mean_tfi,-3.2778284662341015
video_test_0000004,249,0.5,mean_predicted_switches,-93.87142857142857
video_test_0000004,249,0.5,mean_transition_delay,0.6489864864864865
video_test_0000004,249,0.5,ptsm,-0.009322739783780287
video_test_0000004,249,0.5,missed_transition_rate,0.03851351351351351
video_test_0000006,499,0.25,accuracy,0.0053383449631920765
video_test_0000006,499,0.25,global_ece,-0.021995031946714344
video_test_0000006,499,0.25,mean_tfi,-1.5659419111609347
video_test_0000006,499,0.25,mean_predicted_switches,-43.428571428571445
video_test_0000006,499,0.25,mean_transition_delay,0.23271500843170312
video_test_0000006,499,0.25,ptsm,-0.005431598186274117
video_test_0000006,499,0.25,missed_transition_rate,0.013490725126475561
video_test_0000006,499,0.5,accuracy,0.01470217969930221
video_test_0000006,499,0.5,global_ece,-0.05158214673515191
video_test_0000006,499,0.5,mean_tfi,-3.2641489526411513
video_test_0000006,499,0.5,mean_predicted_switches,-93.8857142857143
video_test_0000006,499,0.5,mean_transition_delay,0.6489038785834742
video_test_0000006,499,0.5,ptsm,-0.00929766496548845
video_test_0000006,499,0.5,missed_transition_rate,0.038448566610455315
video_test_0000007,3617,0.25,accuracy,0.005376604358165893
video_test_0000007,3617,0.25,global_ece,-0.021965933578534935
video_test_0000007,3617,0.25,mean_tfi,-1.5566370400066019
video_test_0000007,3617,0.25,mean_predicted_switches,-42.74285714285713
video_test_0000007,3617,0.25,mean_transition_delay,0.2322274881516586
video_test_0000007,3617,0.25,ptsm,-0.005462669293753913
video_test_0000007,3617,0.25,missed_transition_rate,0.013371699390656716
video_test_0000007,3617,0.5,accuracy,0.014813649373990101
video_test_0000007,3617,0.5,global_ece,-0.05151955380741202
video_test_0000007,3617,0.5,mean_tfi,-3.2400867781490854
video_test_0000007,3617,0.5,mean_predicted_switches,-92.5142857142857
video_test_0000007,3617,0.5,mean_transition_delay,0.6455653351387953
video_test_0000007,3617,0.5,ptsm,-0.009365706963752968
video_test_0000007,3617,0.5,missed_transition_rate,0.03825321597833445
video_test_0000011,590,0.25,accuracy,0.00534879607115335
video_test_0000011,590,0.25,global_ece,-0.021982524911784346
video_test_0000011,590,0.25,mean_tfi,-1.5701807478635672
video_test_0000011,590,0.25,mean_predicted_switches,-43.366666666666674
video_test_0000011,590,0.25,mean_transition_delay,0.23295070898041903
video_test_0000011,590,0.25,ptsm,-0.005438391131645459
video_test_0000011,590,0.25,missed_transition_rate,0.013504388926401073
video_test_0000011,590,0.5,accuracy,0.014700194583444515
video_test_0000011,590,0.5,global_ece,-0.05152713688221136
video_test_0000011,590,0.5,mean_tfi,-3.2691834105548665
video_test_0000011,590,0.5,mean_predicted_switches,-93.78095238095239
video_test_0000011,590,0.5,mean_transition_delay,0.6495611073598919
video_test_0000011,590,0.5,ptsm,-0.009311528130087954
video_test_0000011,590,0.5,missed_transition_rate,0.03848750844024307
video_test_0000026,1555,0.25,accuracy,0.0053583026629141495
video_test_0000026,1555,0.25,global_ece,-0.022060191188825795
video_test_0000026,1555,0.25,mean_tfi,-1.5783732495668357
video_test_0000026,1555,0.25,mean_predicted_switches,-43.461904761904776
video_test_0000026,1555,0.25,mean_transition_delay,0.23548497267759494
video_test_0000026,1555,0.25,ptsm,-0.005484615782971547
video_test_0000026,1555,0.25,missed_transition_rate,0.013661202185792365
video_test_0000026,1555,0.5,accuracy,0.01474585648649307
video_test_0000026,1555,0.5,global_ece,-0.05171174501490472
video_test_0000026,1555,0.5,mean_tfi,-3.282592291758929
video_test_0000026,1555,0.5,mean_predicted_switches,-93.91904761904763
video_test_0000026,1555,0.5,mean_transition_delay,0.656079234972677
video_test_0000026,1555,0.5,ptsm,-0.009394972083323794
video_test_0000026,1555,0.5,missed_transition_rate,0.0387636612021858
video_test_0000028,1090,0.25,accuracy,0.005344815678926751
video_test_0000028,1090,0.25,global_ece,-0.021999351180461424
video_test_0000028,1090,0.25,mean_tfi,-1.5759749240874417
video_test_0000028,1090,0.25,mean_predicted_switches,-43.36190476190478
video_test_0000028,1090,0.25,mean_transition_delay,0.23289295392953946
video_test_0000028,1090,0.25,ptsm,-0.005470154029410923
video_test_0000028,1090,0.25,missed_transition_rate,0.013380758807588072
video_test_0000028,1090,0.5,accuracy,0.014719262055111648
video_test_0000028,1090,0.5,global_ece,-0.05158539944273269
video_test_0000028,1090,0.5,mean_tfi,-3.278743546948057
video_test_0000028,1090,0.5,mean_predicted_switches,-93.76190476190476
video_test_0000028,1090,0.5,mean_transition_delay,0.6460027100271004
video_test_0000028,1090,0.5,ptsm,-0.00939861100399017
video_test_0000028,1090,0.5,missed_transition_rate,0.03827913279132791
video_test_0000039,1701,0.25,accuracy,0.005375697156024484
video_test_0000039,1701,0.25,global_ece,-0.022096164137202307
video_test_0000039,1701,0.25,mean_tfi,-1.5784217737913346
video_test_0000039,1701,0.25,mean_predicted_switches,-43.480952380952374
video_test_0000039,1701,0.25,mean_transition_delay,0.23381904439173162
video_test_0000039,1701,0.25,ptsm,-0.00546783463379219
video_test_0000039,1701,0.25,missed_transition_rate,0.013554727211114864
video_test_0000039,1701,0.5,accuracy,0.014797456245374763
video_test_0000039,1701,0.5,global_ece,-0.051817163115457227
video_test_0000039,1701,0.5,mean_tfi,-3.282193158062161
video_test_0000039,1701,0.5,mean_predicted_switches,-93.91904761904763
video_test_0000039,1701,0.5,mean_transition_delay,0.6519823788546262
video_test_0000039,1701,0.5,ptsm,-0.009368503900101327
video_test_0000039,1701,0.5,missed_transition_rate,0.038630972551677384
video_test_0000045,1761,0.25,accuracy,0.005331536096184308
video_test_0000045,1761,0.25,global_ece,-0.021967960731924807
video_test_0000045,1761,0.25,mean_tfi,-1.5749300349277355
video_test_0000045,1761,0.25,mean_predicted_switches,-43.26190476190476
video_test_0000045,1761,0.25,mean_transition_delay,0.2333276769048025
video_test_0000045,1761,0.25,ptsm,-0.005472137548510919
video_test_0000045,1761,0.25,missed_transition_rate,0.013575428474461249
video_test_0000045,1761,0.5,accuracy,0.014758004826063154
video_test_0000045,1761,0.5,global_ece,-0.05158629942316592
video_test_0000045,1761,0.5,mean_tfi,-3.275131866500775
video_test_0000045,1761,0.5,mean_predicted_switches,-93.46666666666667
video_test_0000045,1761,0.5,mean_transition_delay,0.6512811810622772
video_test_0000045,1761,0.5,ptsm,-0.009380312180289202
video_test_0000045,1761,0.5,missed_transition_rate,0.03868997115221451
video_test_0000046,1330,0.25,accuracy,0.005369704290655197
video_test_0000046,1330,0.25,global_ece,-0.0220021860889259
video_test_0000046,1330,0.25,mean_tfi,-1.5619255796317466
video_test_0000046,1330,0.25,mean_predicted_switches,-43.23809523809524
video_test_0000046,1330,0.25,mean_transition_delay,0.2327819041188386
video_test_0000046,1330,0.25,ptsm,-0.005437462572043639
video_test_0000046,1330,0.25,missed_transition_rate,0.013504388926401073
video_test_0000046,1330,0.5,accuracy,0.014729877130829072
video_test_0000046,1330,0.5,global_ece,-0.0515552122727351
video_test_0000046,1330,0.5,mean_tfi,-3.2459066922539925
video_test_0000046,1330,0.5,mean_predicted_switches,-93.45238095238093
video_test_0000046,1330,0.5,mean_transition_delay,0.6493923024983115
video_test_0000046,1330,0.5,ptsm,-0.009319631084580587
video_test_0000046,1330,0.5,missed_transition_rate,0.03848750844024307
video_test_0000051,866,0.25,accuracy,0.005332221078626964
video_test_0000051,866,0.25,global_ece,-0.021997914221938253
video_test_0000051,866,0.25,mean_tfi,-1.572729585607168
video_test_0000051,866,0.25,mean_predicted_switches,-43.395238095238085
video_test_0000051,866,0.25,mean_transition_delay,0.23134076325565722
video_test_0000051,866,0.25,ptsm,-0.005448600943095433
video_test_0000051,866,0.25,missed_transition_rate,0.01350894967916244
video_test_0000051,866,0.5,accuracy,0.01470936844537396
video_test_0000051,866,0.5,global_ece,-0.051600703111269214
video_test_0000051,866,0.5,mean_tfi,-3.2701472525954163
video_test_0000051,866,0.5,mean_predicted_switches,-93.75714285714284
video_test_0000051,866,0.5,mean_transition_delay,0.6469098277608918
video_test_0000051,866,0.5,ptsm,-0.00934277050091728
video_test_0000051,866,0.5,missed_transition_rate,0.038500506585612965
video_test_0000058,852,0.25,accuracy,0.005340998766769411
video_test_0000058,852,0.25,global_ece,-0.022021873499690564
video_test_0000058,852,0.25,mean_tfi,-1.577746846292877
video_test_0000058,852,0.25,mean_predicted_switches,-43.49047619047619
video_test_0000058,852,0.25,mean_transition_delay,0.2327935222672064
video_test_0000058,852,0.25,ptsm,-0.005441703470416365
video_test_0000058,852,0.25,missed_transition_rate,0.013495276653171379
video_test_0000058,852,0.5,accuracy,0.014702749414140404
video_test_0000058,852,0.5,global_ece,-0.051632909979817204
video_test_0000058,852,0.5,mean_tfi,-3.2783677412898076
video_test_0000058,852,0.5,mean_predicted_switches,-93.93809523809523
video_test_0000058,852,0.5,mean_transition_delay,0.6491228070175437
video_test_0000058,852,0.5,ptsm,-0.009323056866532287
video_test_0000058,852,0.5,missed_transition_rate,0.038461538461538464
video_test_0000062,108,0.25,accuracy,0.005338083618999123
video_test_0000062,108,0.25,global_ece,-0.021974649750796882
video_test_0000062,108,0.25,mean_tfi,-1.5707700181395792
video_test_0000062,108,0.25,mean_predicted_switches,-43.44761904761904
video_test_0000062,108,0.25,mean_transition_delay,0.23144399460188936
video_test_0000062,108,0.25,ptsm,-0.005444989447301679
video_test_0000062,108,0.25,missed_transition_rate,0.013326585695006748
video_test_0000062,108,0.5,accuracy,0.014693950870469874
video_test_0000062,108,0.5,global_ece,-0.05152619415550613
video_test_0000062,108,0.5,mean_tfi,-3.265473916936225
video_test_0000062,108,0.5,mean_predicted_switches,-93.87619047619049
video_test_0000062,108,0.5,mean_transition_delay,0.6477732793522266
video_test_0000062,108,0.5,ptsm,-0.009333293200253306
video_test_0000062,108,0.5,missed_transition_rate,0.038292847503373806
video_test_0000073,738,0.25,accuracy,0.005348171033489835
video_test_0000073,738,0.25,global_ece,-0.021996469358704307
video_test_0000073,738,0.25,mean_tfi,-1.575012781911754
video_test_0000073,738,0.25,mean_predicted_switches,-43.457142857142856
video_test_0000073,738,0.25,mean_transition_delay,0.2321066846725186
video_test_0000073,738,0.25,ptsm,-0.0054350066618763515
video_test_0000073,738,0.25,missed_transition_rate,0.0135043889264011
video_test_0000073,738,0.5,accuracy,0.014706720458328992
video_test_0000073,738,0.5,global_ece,-0.051557593929204476
video_test_0000073,738,0.5,mean_tfi,-3.2753216317252365
video_test_0000073,738,0.5,mean_predicted_switches,-93.87142857142857
video_test_0000073,738,0.5,mean_transition_delay,0.6466914247130315
video_test_0000073,738,0.5,ptsm,-0.009323349189411773
video_test_0000073,738,0.5,missed_transition_rate,0.038487508440243096
video_test_0000085,1652,0.25,accuracy,0.005374904878921782
video_test_0000085,1652,0.25,global_ece,-0.0220258036187736
video_test_0000085,1652,0.25,mean_tfi,-1.5442565386737188
video_test_0000085,1652,0.25,mean_predicted_switches,-43.166666666666686
video_test_0000085,1652,0.25,mean_transition_delay,0.23346828609986492
video_test_0000085,1652,0.25,ptsm,-0.005430403582121074
video_test_0000085,1652,0.25,missed_transition_rate,0.013495276653171379
video_test_0000085,1652,0.5,accuracy,0.014783244252882244
video_test_0000085,1652,0.5,global_ece,-0.05164507198142049
video_test_0000085,1652,0.5,mean_tfi,-3.2287074770269273
video_test_0000085,1652,0.5,mean_predicted_switches,-93.44761904761907
video_test_0000085,1652,0.5,mean_transition_delay,0.6496288798920373
video_test_0000085,1652,0.5,ptsm,-0.009299308387773236
video_test_0000085,1652,0.5,missed_transition_rate,0.038461538461538464
video_test_0000113,642,0.25,accuracy,0.005346631442271099
video_test_0000113,642,0.25,global_ece,-0.022022741922419625
video_test_0000113,642,0.25,mean_tfi,-1.5787065260760862
video_test_0000113,642,0.25,mean_predicted_switches,-43.5
video_test_0000113,642,0.25,mean_transition_delay,0.23271500843170312
video_test_0000113,642,0.25,ptsm,-0.005442323556792139
video_test_0000113,642,0.25,missed_transition_rate,0.013490725126475533
video_test_0000113,642,0.5,accuracy,0.014714481484702335
video_test_0000113,642,0.5,global_ece,-0.051633375019318195
video_test_0000113,642,0.5,mean_tfi,-3.2832112906735977
video_test_0000113,642,0.5,mean_predicted_switches,-93.9857142857143
video_test_0000113,642,0.5,mean_transition_delay,0.6489038785834733
video_test_0000113,642,0.5,ptsm,-0.009323915804369337
video_test_0000113,642,0.5,missed_transition_rate,0.038448566610455315
video_test_0000129,1436,0.25,accuracy,0.005320316092904065
video_test_0000129,1436,0.25,global_ece,-0.02193784230286344
video_test_0000129,1436,0.25,mean_tfi,-1.5653274779533835
video_test_0000129,1436,0.25,mean_predicted_switches,-43.095238095238074
video_test_0000129,1436,0.25,mean_transition_delay,0.2327469553450605
video_test_0000129,1436,0.25,ptsm,-0.005450026419371479
video_test_0000129,1436,0.25,missed_transition_rate,0.013362652232746935
video_test_0000129,1436,0.5,accuracy,0.01466844210924978
video_test_0000129,1436,0.5,global_ece,-0.05146436457616624
video_test_0000129,1436,0.5,mean_tfi,-3.253462434822765
video_test_0000129,1436,0.5,mean_predicted_switches,-93.14285714285714
video_test_0000129,1436,0.5,mean_transition_delay,0.6473274695534501
video_test_0000129,1436,0.5,ptsm,-0.009338450232682288
video_test_0000129,1436,0.5,missed_transition_rate,0.0378890392422192
video_test_0000131,976,0.25,accuracy,0.005318973306078112
video_test_0000131,976,0.25,global_ece,-0.021963278964367144
video_test_0000131,976,0.25,mean_tfi,-1.5764517492019108
video_test_0000131,976,0.25,mean_predicted_switches,-43.40952380952382
video_test_0000131,976,0.25,mean_transition_delay,0.23036560595802325
video_test_0000131,976,0.25,ptsm,-0.005419735083754734
video_test_0000131,976,0.25,missed_transition_rate,0.013371699390656744
video_test_0000131,976,0.5,accuracy,0.014669200082846334
video_test_0000131,976,0.5,global_ece,-0.05152203073612227
video_test_0000131,976,0.5,mean_tfi,-3.2771575381302744
video_test_0000131,976,0.5,mean_predicted_switches,-93.74761904761905
video_test_0000131,976,0.5,mean_transition_delay,0.6509817197020986
video_test_0000131,976,0.5,ptsm,-0.009277014908050135
video_test_0000131,976,0.5,missed_transition_rate,0.03859174001354096
video_test_0000173,1433,0.25,accuracy,0.005323273918662941
video_test_0000173,1433,0.25,global_ece,-0.02198298365199336
video_test_0000173,1433,0.25,mean_tfi,-1.57210033264173
video_test_0000173,1433,0.25,mean_predicted_switches,-43.35714285714286
video_test_0000173,1433,0.25,mean_transition_delay,0.2331081081081079
video_test_0000173,1433,0.25,ptsm,-0.005451527071879042
video_test_0000173,1433,0.25,missed_transition_rate,0.013513513513513514
video_test_0000173,1433,0.5,accuracy,0.014683338843968774
video_test_0000173,1433,0.5,global_ece,-0.051565871518475026
video_test_0000173,1433,0.5,mean_tfi,-3.2699605215312886
video_test_0000173,1433,0.5,mean_predicted_switches,-93.6952380952381
video_test_0000173,1433,0.5,mean_transition_delay,0.6494932432432439
video_test_0000173,1433,0.5,ptsm,-0.009340563536627489
video_test_0000173,1433,0.5,missed_transition_rate,0.03851351351351351
video_test_0000179,1260,0.25,accuracy,0.005347545386540364
video_test_0000179,1260,0.25,global_ece,-0.021991599821426788
video_test_0000179,1260,0.25,mean_tfi,-1.5771965184352492
video_test_0000179,1260,0.25,mean_predicted_switches,-43.35238095238097
video_test_0000179,1260,0.25,mean_transition_delay,0.22940776038121147
video_test_0000179,1260,0.25,ptsm,-0.005421724267382189
video_test_0000179,1260,0.25,missed_transition_rate,0.013274336283185834
video_test_0000179,1260,0.5,accuracy,0.01470274557400486
video_test_0000179,1260,0.5,global_ece,-0.05154584110944527
video_test_0000179,1260,0.5,mean_tfi,-3.280611581862776
video_test_0000179,1260,0.5,mean_predicted_switches,-93.72857142857143
video_test_0000179,1260,0.5,mean_transition_delay,0.6482300884955752
video_test_0000179,1260,0.5,ptsm,-0.009280655896630519
video_test_0000179,1260,0.5,missed_transition_rate,0.038461538461538464
video_test_0000188,4037,0.25,accuracy,0.0053107372018201815
video_test_0000188,4037,0.25,global_ece,-0.02188658795323703
video_test_0000188,4037,0.25,mean_tfi,-1.521567276436837
video_test_0000188,4037,0.25,mean_predicted_switches,-42.538095238095224
video_test_0000188,4037,0.25,mean_transition_delay,0.2316784869976356
video_test_0000188,4037,0.25,ptsm,-0.005446756560494287
video_test_0000188,4037,0.25,missed_transition_rate,0.01350894967916244
video_test_0000188,4037,0.5,accuracy,0.014684052034924289
video_test_0000188,4037,0.5,global_ece,-0.05137749949728099
video_test_0000188,4037,0.5,mean_tfi,-3.1701584383016392
video_test_0000188,4037,0.5,mean_predicted_switches,-92.17142857142855
video_test_0000188,4037,0.5,mean_transition_delay,0.6472475515028702
video_test_0000188,4037,0.5,ptsm,-0.009340574368960242
video_test_0000188,4037,0.5,missed_transition_rate,0.03833164471462344
video_test_0000211,737,0.25,accuracy,0.005339156413286639
video_test_0000211,737,0.25,global_ece,-0.02200205058099347
video_test_0000211,737,0.25,mean_tfi,-1.5763766155896706
video_test_0000211,737,0.25,mean_predicted_switches,-43.41428571428571
video_test_0000211,737,0.25,mean_transition_delay,0.23317551572539763
video_test_0000211,737,0.25,ptsm,-0.00545278916955011
video_test_0000211,737,0.25,missed_transition_rate,0.01352722353736896
video_test_0000211,737,0.5,accuracy,0.014703676819062594
video_test_0000211,737,0.5,global_ece,-0.05159660422635401
video_test_0000211,737,0.5,mean_tfi,-3.278882537896596
video_test_0000211,737,0.5,mean_predicted_switches,-93.82380952380953
video_test_0000211,737,0.5,mean_transition_delay,0.6487994589110588
video_test_0000211,737,0.5,ptsm,-0.009354265787779203
video_test_0000211,737,0.5,missed_transition_rate,0.03838349678728442
video_test_0000220,1841,0.25,accuracy,0.005326800729500869
video_test_0000220,1841,0.25,global_ece,-0.02194918826151082
video_test_0000220,1841,0.25,mean_tfi,-1.5706472866575476
video_test_0000220,1841,0.25,mean_predicted_switches,-43.190476190476176
video_test_0000220,1841,0.25,mean_transition_delay,0.23053486797562606
video_test_0000220,1841,0.25,ptsm,-0.005444644129210058
video_test_0000220,1841,0.25,missed_transition_rate,0.013371699390656716
video_test_0000220,1841,0.5,accuracy,0.014662244719846451
video_test_0000220,1841,0.5,global_ece,-0.051461216908701785
video_test_0000220,1841,0.5,mean_tfi,-3.266462018938764
video_test_0000220,1841,0.5,mean_predicted_switches,-93.35714285714283
video_test_0000220,1841,0.5,mean_transition_delay,0.6448882870683814
video_test_0000220,1841,0.5,ptsm,-0.009332254668718759
video_test_0000220,1841,0.5,missed_transition_rate,0.038422477995937704
video_test_0000238,766,0.25,accuracy,0.005330621525871604
video_test_0000238,766,0.25,global_ece,-0.02200251728078015
video_test_0000238,766,0.25,mean_tfi,-1.5749941202860622
video_test_0000238,766,0.25,mean_predicted_switches,-43.457142857142884
video_test_0000238,766,0.25,mean_transition_delay,0.23295070898041903
video_test_0000238,766,0.25,ptsm,-0.005441298833100322
video_test_0000238,766,0.25,missed_transition_rate,0.013504388926401073
video_test_0000238,766,0.5,accuracy,0.014668958503946228
video_test_0000238,766,0.5,global_ece,-0.05158462541517886
video_test_0000238,766,0.5,mean_tfi,-3.27509183233982
