instance,condition,post_transition_offset,recovered_proportion,transition_count
TeSTra,native,0,0.230365983885,10301
TeSTra,native,1,0.299388408892,10301
TeSTra,native,2,0.332977380837,10301
TeSTra,native,3,0.354722842442,10301
TeSTra,native,4,0.367440054364,10301
TeSTra,native,5,0.375788758373,10301
TeSTra,native,6,0.383360838754,10301
TeSTra,native,7,0.388991360062,10301
TeSTra,native,8,0.393456945928,10301
TeSTra,native,9,0.396660518396,10301
TeSTra,native,10,0.398407921561,10301
TeSTra,native,11,0.400252402679,10301
TeSTra,native,12,0.401805649937,10301
TeSTra,native,13,0.403067663334,10301
TeSTra,native,14,0.404038442870,10301
TeSTra,native,15,0.405106300359,10301
TeSTra,ema,0,0.210853315212,10301
TeSTra,ema,1,0.265411125133,10301
TeSTra,ema,2,0.306086787691,10301
TeSTra,ema,3,0.328997184739,10301
TeSTra,ema,4,0.342782254150,10301
TeSTra,ema,5,0.352295893603,10301
TeSTra,ema,6,0.359576740122,10301
TeSTra,ema,7,0.365692651199,10301
TeSTra,ema,8,0.370158237064,10301
TeSTra,ema,9,0.373458887487,10301
TeSTra,ema,10,0.376079992234,10301
TeSTra,ema,11,0.377730317445,10301
TeSTra,ema,12,0.379283564702,10301
TeSTra,ema,13,0.380254344238,10301
TeSTra,ema,14,0.381613435589,10301
TeSTra,ema,15,0.382778371032,10301
CMeRT,native,0,0.473443746431,5253
CMeRT,native,1,0.628022082619,5253
CMeRT,native,2,0.713687416714,5253
CMeRT,native,3,0.767561393489,5253
CMeRT,native,4,0.800494955264,5253
CMeRT,native,5,0.826765657719,5253
CMeRT,native,6,0.843708357129,5253
CMeRT,native,7,0.855130401675,5253
CMeRT,native,8,0.865029506948,5253
CMeRT,native,9,0.876261184085,5253
CMeRT,native,10,0.883304778222,5253
CMeRT,native,11,0.888063963449,5253
CMeRT,native,12,0.892442413859,5253
CMeRT,native,13,0.896440129450,5253
CMeRT,native,14,0.899105273177,5253
CMeRT,native,15,0.901580049496,5253
CMeRT,ema,0,0.374643061108,5253
CMeRT,ema,1,0.518751189796,5253
CMeRT,ema,2,0.634304207120,5253
CMeRT,ema,3,0.700742432895,5253
CMeRT,ema,4,0.745478774034,5253
CMeRT,ema,5,0.776318294308,5253
CMeRT,ema,6,0.800685322673,5253
CMeRT,ema,7,0.815153245764,5253
CMeRT,ema,8,0.826194555492,5253
CMeRT,ema,9,0.836664762993,5253
CMeRT,ema,10,0.845421663811,5253
CMeRT,ema,11,0.851894155721,5253
CMeRT,ema,12,0.857224443175,5253
CMeRT,ema,13,0.862935465448,5253
CMeRT,ema,14,0.866552446221,5253
CMeRT,ema,15,0.868075385494,5253
